Emotions,Path
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-1-dup0.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-1-dup1.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-1-dup2.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-1-dup3.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-2-dup0.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-2-dup1.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-2-dup2.wav
angry,RAVDESS/Actor_01/RAVDESS-01-Angry-2-dup3.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-1-dup0.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-1-dup1.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-1-dup2.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-1-dup3.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-2-dup0.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-2-dup1.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-2-dup2.wav
happy,RAVDESS/Actor_01/RAVDESS-01-Happy-2-dup3.wav
neutral,RAVDESS/Actor_01/RAVDESS-01-Neutral-1-dup0.wav
neutral,RAVDESS/Actor_01/RAVDESS-01-Neutral-1-dup1.wav
neutral,RAVDESS/Actor_01/RAVDESS-01-Neutral-1-dup2.wav
neutral,RAVDESS/Actor_01/RAVDESS-01-Neutral-1-dup3.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-1-dup0.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-1-dup1.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-1-dup2.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-1-dup3.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-2-dup0.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-2-dup1.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-2-dup2.wav
sad,RAVDESS/Actor_01/RAVDESS-01-Sad-2-dup3.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-1-dup0.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-1-dup1.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-1-dup2.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-1-dup3.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-2-dup0.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-2-dup1.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-2-dup2.wav
angry,RAVDESS/Actor_02/RAVDESS-02-Angry-2-dup3.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-1-dup0.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-1-dup1.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-1-dup2.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-1-dup3.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-2-dup0.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-2-dup1.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-2-dup2.wav
happy,RAVDESS/Actor_02/RAVDESS-02-Happy-2-dup3.wav
neutral,RAVDESS/Actor_02/RAVDESS-02-Neutral-1-dup0.wav
neutral,RAVDESS/Actor_02/RAVDESS-02-Neutral-1-dup1.wav
neutral,RAVDESS/Actor_02/RAVDESS-02-Neutral-1-dup2.wav
neutral,RAVDESS/Actor_02/RAVDESS-02-Neutral-1-dup3.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-1-dup0.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-1-dup1.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-1-dup2.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-1-dup3.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-2-dup0.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-2-dup1.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-2-dup2.wav
sad,RAVDESS/Actor_02/RAVDESS-02-Sad-2-dup3.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-1-dup0.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-1-dup1.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-1-dup2.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-1-dup3.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-2-dup0.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-2-dup1.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-2-dup2.wav
angry,RAVDESS/Actor_03/RAVDESS-03-Angry-2-dup3.wav
happy,RAVDESS/Actor_03/RAVDESS-03-Happy-1-dup0.wav
happy,RAVDESS/Actor_03/RAVDESS-03-Happy-1-dup1.wav
happy,RAVDESS/Actor_03/RAVDESS-03-Happy-1-dup2.wav
happy,RAVDESS/Actor_03/RAVDESS-03-Happy-1-dup3.wav
